claim_id,piece_id,verbatim_phrase,quote,source_url
c546b65dc38d,beriot_scene_de_ballet,'elastic' and 'rebounding' strokes,"discusses a wide range of bowings, including ""elastic"" and ""rebounding"" strokes, and various ways of reproducing dotted rhythms",https://www.thestrad.com/bringing-singing-to-violin-technique-charles-auguste-de-beriot/1155.article
ea72c455098c,beriot_scene_de_ballet,"'soft', 'medium' and 'loud' vibrato","He refers to ""soft"", ""medium"" and ""loud"" vibrato, illustrating these gradations with signs seemingly aligned more with dynamic level than speed or breadth of oscillation.",https://www.thestrad.com/bringing-singing-to-violin-technique-charles-auguste-de-beriot/1155.article
5b24af1fe667,lalo_symphonie_espagnole_mvt1,1-15th position,"intonation, glissando, harmonics, ornaments, legato, staccato, 1-15th position, chords, vibrato, articulation, dynamics","https://www.violinwiki.org/wiki/Symphonie_espagnole,_Op._21,_1st_Movement_(Lalo,_%C3%89douard)"
01fb8e6d8e19,sarasate_intro_tarantella,6/8 time ride up and down the violin fingerboard,"a wild and, in good hands, exhilarating 6/8 time ride up and down the violin fingerboard.",https://sin80.com/en/work/sarasate-introduction-tarantelle
87214b71b7ae,beethoven_d_major_mvt1,a little more bow-arm weight on the lower of the two strings involved,"""Allow a little more bow-arm weight on the lower of the two strings involved."" Lower pitches should serve as tuning references for upper notes.",https://stringsmagazine.com/a-new-way-to-practice-the-octaves-in-beethovens-violin-concerto/
b34091327dbc,massenet_meditation_thais,A natural harmonic,Mutter does something no one else does at the climactic A natural harmonic. She glides up there ever so slowly,https://operawire.com/thais-meditation-as-interpreted-by-some-of-the-greatest-violinists-in-history/
72ad96634483,saint_saens_intro_rondo_capriccioso,accurate intonation in the highest register,"Sarasate was the consummate salon virtuoso, possessed of a light tone, fast narrow vibrato, accurate intonation in the highest register, and fantastic technique.",https://www.runyanprogramnotes.com/program_note/introduction-and-rondo-capriccioso-op-28/
3a6165bf0f8b,bach_preludio_e_major_bwv1006,almost unbroken pattern of semiquavers with passages of bariolage,"a dashing, bravura Preludio whose almost unbroken pattern of semiquavers, together with passages of 'bariolage'",https://www.hyperion-records.co.uk/tw.asp?w=W6738
98aad066fbe2,mendelssohn_e_minor_mvt1,already have a good spiccato and ricochet in your technique,"To add the spiccato, you need to already have a good spiccato and ricochet in your technique (another article for another day!).",https://stringsmagazine.com/the-spiccato-bariolage-passage-of-mendelssohns-violin-concerto-is-one-challenge-among-many/
7b385b4e105d,_general,amount of pressure applied must be proportionate to your bow speed,The amount of pressure applied must be proportionate to your bow speed – herein lies the secret to creating a quality tone rather than a forced tone.,https://www.thestrad.com/playing-hub/aaron-rosand-on-how-to-produce-a-beautiful-tone/264.article
